S0,K,C_mkt,T,iv
672.88,525.0,0.02,0.0064,0.7188
672.88,530.0,0.02,0.0064,0.6875
672.88,535.0,0.01,0.0064,0.6563
672.88,540.0,0.01,0.0064,0.6406
672.88,545.0,0.01,0.0064,0.6094
672.88,550.0,0.01,0.0064,0.5938
672.88,555.0,0.01,0.0064,0.6133
672.88,560.0,0.01,0.0064,0.5859
672.88,565.0,0.01,0.0064,0.5625
672.88,570.0,0.01,0.0064,0.5352
672.88,575.0,0.02,0.0064,0.5078
672.88,580.0,0.02,0.0064,0.4961
672.88,585.0,0.02,0.0064,0.4883
672.88,590.0,0.02,0.0064,0.4609
672.88,595.0,0.03,0.0064,0.4336
672.88,600.0,0.04,0.0064,0.4199
672.88,605.0,0.03,0.0064,0.3926
672.88,610.0,0.04,0.0064,0.3652
672.88,615.0,0.05,0.0064,0.3379
672.88,620.0,0.06,0.0064,0.3184
672.88,625.0,0.05,0.0064,0.2969
672.88,630.0,0.06,0.0064,0.2744
672.88,631.0,0.07,0.0064,0.2734
672.88,632.0,0.07,0.0064,0.2627
672.88,633.0,0.08,0.0064,0.2617
672.88,634.0,0.08,0.0064,0.2559
672.88,635.0,0.08,0.0064,0.25
672.88,636.0,0.08,0.0064,0.2437
672.88,637.0,0.1,0.0064,0.2417
672.88,638.0,0.09,0.0064,0.2393
672.88,639.0,0.1,0.0064,0.2334
672.88,640.0,0.1,0.0064,0.2271
672.88,641.0,0.12,0.0064,0.2241
672.88,642.0,0.12,0.0064,0.2212
672.88,643.0,0.15,0.0064,0.2149
672.88,644.0,0.13,0.0064,0.2109
672.88,645.0,0.14,0.0064,0.2095
672.88,646.0,0.15,0.0064,0.2056
672.88,647.0,0.17,0.0064,0.1987
672.88,648.0,0.19,0.0064,0.1943
672.88,649.0,0.19,0.0064,0.1914
672.88,650.0,0.21,0.0064,0.1899
672.88,651.0,0.24,0.0064,0.186
672.88,652.0,0.27,0.0064,0.1848
672.88,653.0,0.29,0.0064,0.179
672.88,654.0,0.34,0.0064,0.1787
672.88,655.0,0.39,0.0064,0.1755
672.88,656.0,0.43,0.0064,0.1729
672.88,657.0,0.49,0.0064,0.1703
672.88,658.0,0.54,0.0064,0.1671
672.88,659.0,0.6,0.0064,0.1648
672.88,660.0,0.72,0.0064,0.1625
672.88,661.0,0.83,0.0064,0.1599
672.88,662.0,0.93,0.0064,0.1572
672.88,663.0,1.08,0.0064,0.1559
672.88,664.0,1.24,0.0064,0.1535
672.88,665.0,1.42,0.0064,0.152
672.88,666.0,1.59,0.0064,0.1485
672.88,667.0,1.82,0.0064,0.1467
672.88,668.0,2.06,0.0064,0.1441
672.88,669.0,2.37,0.0064,0.1426
672.88,670.0,2.67,0.0064,0.1403
672.88,671.0,3.03,0.0064,0.1371
672.88,672.0,3.45,0.0064,0.1368
672.88,673.0,3.88,0.0064,0.1336
672.88,674.0,4.37,0.0064,0.135
672.88,675.0,4.93,0.0064,0.1331
672.88,676.0,5.54,0.0064,0.1318
672.88,677.0,6.01,0.0064,0.1304
672.88,678.0,6.58,0.0064,0.1318
672.88,679.0,7.58,0.0064,0.1291
672.88,680.0,7.94,0.0064,0.1292
672.88,681.0,9.51,0.0064,0.1333
672.88,682.0,10.55,0.0064,0.1414
672.88,683.0,10.73,0.0064,0.1388
672.88,684.0,13.73,0.0064,0.1514
672.88,685.0,13.85,0.0064,0.1558
672.88,686.0,17.8,0.0064,0.1582
672.88,687.0,11.84,0.0064,0.1575
672.88,688.0,18.43,0.0064,0.1769
672.88,689.0,17.83,0.0064,0.1812
672.88,690.0,20.26,0.0064,0.1907
672.88,691.0,15.09,0.0064,0.2734
672.88,692.0,12.41,0.0064,0.2832
672.88,693.0,10.99,0.0064,0.2913
672.88,694.0,21.67,0.0064,0.3009
672.88,695.0,30.77,0.0064,0.3099
672.88,696.0,24.9,0.0064,0.3189
672.88,700.0,28.51,0.0064,0.3549
672.88,705.0,21.39,0.0064,0.3962
672.88,715.0,38.22,0.0064,0.4753
672.88,575.0,0.02,0.0091,0.4844
672.88,580.0,0.03,0.0091,0.4746
672.88,585.0,0.05,0.0091,0.4492
672.88,590.0,0.06,0.0091,0.4356
672.88,595.0,0.06,0.0091,0.4102
672.88,600.0,0.06,0.0091,0.3848
672.88,605.0,0.09,0.0091,0.374
672.88,610.0,0.07,0.0091,0.3535
672.88,615.0,0.14,0.0091,0.333
672.88,620.0,0.11,0.0091,0.3106
672.88,625.0,0.11,0.0091,0.291
672.88,630.0,0.16,0.0091,0.273
672.88,631.0,0.29,0.0091,0.2671
672.88,632.0,0.17,0.0091,0.2617
672.88,633.0,0.18,0.0091,0.2583
