S0,K,T,C_mkt,iv_market
660.08,575.0,0.0,84.56,1.158207333984375
660.08,580.0,0.0,94.58,1.0993697375488285
660.08,585.0,0.0,78.59,1.0405321411132817
660.08,590.0,0.0,89.22,0.983398603515625
660.08,605.0,0.0,53.43,0.8078632495117187
660.08,610.0,0.0,54.07,0.7480493945312501
660.08,615.0,0.0,47.81,0.6796907031250001
660.08,625.0,0.0,35.02,0.5627485131835939
660.08,630.0,0.0,32.62,0.5031787963867188
660.08,632.0,0.0,31.73,1.0000000000000003e-05
660.08,635.0,0.0,28.82,1.0000000000000003e-05
660.08,640.0,0.0,21.35,0.179695703125
660.08,642.0,0.0,17.09,0.192390888671875
660.08,644.0,0.0,18.2,0.19727365234375
660.08,645.0,0.0,15.18,0.19702951416015624
660.08,646.0,0.0,16.39,0.19800606689453126
660.08,647.0,0.0,13.15,0.198250205078125
660.08,648.0,0.0,12.33,0.19849434326171872
660.08,649.0,0.0,12.24,0.19702951416015624
660.08,650.0,0.0,10.73,0.19654123779296873
660.08,651.0,0.0,9.5,0.19568675415039063
660.08,652.0,0.0,9.06,0.19458813232421873
660.08,653.0,0.0,8.43,0.19361157958984376
660.08,654.0,0.0,7.45,0.1914143359375
660.08,655.0,0.0,6.6,0.18982743774414065
660.08,656.0,0.0,6.03,0.18799640136718748
660.08,657.0,0.0,5.39,0.18628743408203124
660.08,658.0,0.0,4.74,0.18518881225585934
660.08,659.0,0.0,4.14,0.1825032922363281
660.08,660.0,0.0,3.54,0.17957363403320312
660.08,661.0,0.0,3.04,0.17847501220703127
660.08,662.0,0.0,2.59,0.17701018310546873
660.08,663.0,0.0,2.15,0.17524018127441404
660.08,664.0,0.0,1.75,0.1726156958007813
660.08,665.0,0.0,1.42,0.17127293579101563
660.08,666.0,0.0,1.14,0.16919776123046876
660.08,667.0,0.0,0.9,0.1667563793945313
660.08,668.0,0.0,0.72,0.16529155029296877
660.08,669.0,0.0,0.52,0.16333844482421878
660.08,670.0,0.0,0.4,0.16211775390625
660.08,671.0,0.0,0.3,0.1601646484375
660.08,672.0,0.0,0.23,0.159188095703125
660.08,673.0,0.0,0.17,0.1601646484375
660.08,674.0,0.0,0.11,0.159188095703125
660.08,675.0,0.0,0.09,0.1601646484375
660.08,676.0,0.0,0.06,0.15821154296875
660.08,677.0,0.0,0.04,0.16211775390625
660.08,678.0,0.0,0.04,0.16407085937500002
660.08,679.0,0.0,0.03,0.16602396484375004
660.08,680.0,0.0,0.03,0.17383638671875
660.08,681.0,0.0,0.02,0.17188328125000002
660.08,682.0,0.0,0.02,0.179695703125
660.08,683.0,0.0,0.01,0.18555501953124998
660.08,684.0,0.0,0.02,0.19336744140625
660.08,685.0,0.0,0.01,0.1992267578125
660.08,686.0,0.0,0.02,0.20703917968749996
660.08,687.0,0.0,0.01,0.1992267578125
660.08,688.0,0.0,0.01,0.20703917968749996
660.08,689.0,0.0,0.01,0.21094539062499998
660.08,690.0,0.0,0.01,0.21875781249999998
660.08,691.0,0.0,0.02,0.22657023437499998
660.08,692.0,0.0,0.01,0.2304764453125
660.08,693.0,0.0,0.01,0.23828886718749998
660.08,694.0,0.0,0.01,0.242195078125
660.08,695.0,0.0,0.01,0.2500075
660.08,696.0,0.0,0.01,0.257819921875
660.08,697.0,0.0,0.01,0.2617261328125
660.08,698.0,0.0,0.01,0.2695385546875
660.08,699.0,0.0,0.01,0.273444765625
660.08,700.0,0.0,0.01,0.28125718749999995
660.08,701.0,0.0,0.02,0.2890696093749999
660.08,702.0,0.0,0.02,0.2929758203124999
660.08,703.0,0.0,0.01,0.29688203124999996
660.08,704.0,0.0,0.01,0.304694453125
660.08,705.0,0.0,0.01,0.31250687499999996
660.08,706.0,0.0,0.01,0.32031929687499994
660.08,707.0,0.0,0.01,0.3242255078124999
660.08,708.0,0.0,0.01,0.32813171874999997
660.08,709.0,0.0,0.01,0.335944140625
660.08,710.0,0.0,0.01,0.3437565625
660.08,711.0,0.0,0.01,0.34766277343749996
660.08,712.0,0.0,0.01,0.35156898437499995
660.08,713.0,0.0,0.02,0.35938140625
660.08,714.0,0.0,0.01,0.367193828125
660.08,715.0,0.0,0.01,0.3711000390625
660.08,716.0,0.0,0.03,0.37500625
660.08,717.0,0.0,0.01,0.38281867187499996
660.08,718.0,0.0,0.01,0.39063109375
660.08,719.0,0.0,0.02,0.39453730468750003
660.08,720.0,0.0,0.01,0.398443515625
660.08,722.0,0.0,0.03,0.414068359375
660.08,723.0,0.0,0.03,0.41797457031249996
660.08,724.0,0.0,0.03,0.42188078125
660.08,725.0,0.0,0.02,0.42969320312500003
660.08,728.0,0.0,0.02,0.445318046875
660.08,729.0,0.0,0.01,0.45313046875
660.08,730.0,0.0,0.01,0.46094289062500005
660.08,735.0,0.0,0.01,0.48438015625
660.08,740.0,0.0,0.01,0.51562984375
660.08,745.0,0.0,0.01,0.51562984375
660.08,750.0,0.0,0.01,0.570316796875
660.08,765.0,0.0,0.01,0.648441015625
660.08,780.0,0.0,0.01,0.726565234375
660.08,500.0,0.04,160.33,0.6898224377441409
660.08,505.0,0.04,165.5,0.6728548339843752
660.08,510.0,0.04,164.32,0.6557651611328126
660.08,515.0,0.04,154.92,0.6384313500976562
660.08,520.0,0.04,142.08,0.6215858154296876
660.08,525.0,0.04,148.83,0.6044961425781252
660.08,530.0,0.04,153.64,0.5871623315429688
660.08,535.0,0.04,139.25,0.570316796875
660.08,540.0,0.04,124.14,0.553837469482422
660.08,545.0,0.04,120.9,0.5371140039062501
660.08,550.0,0.04,134.55,0.5202684692382812
660.08,555.0,0.04,119.61,0.5037891418457032
660.08,560.0,0.04,101.74,0.5585981640625001
660.08,565.0,0.04,110.74,0.5389450402832032
660.08,570.0,0.04,106.67,0.5191698474121094
660.08,575.0,0.04,110.1,0.5003101727294923
660.08,580.0,0.04,81.2,0.48120635986328125
660.08,585.0,0.04,89.15,0.4624077197265626
660.08,590.0,0.04,71.57,0.44397528686523435
660.08,595.0,0.04,90.71,0.4259700958251954
660.08,600.0,0.04,66.79,0.4083921466064453
660.08,605.0,0.04,71.7,0.34955484436035156
660.08,610.0,0.04,54.0,0.3352727606201171
660.08,615.0,0.04,50.42,0.3215399877929687
660.08,620.0,0.04,42.55,0.3080208358764648
660.08,625.0,0.04,41.16,0.2951120294189453
660.08,630.0,0.04,38.89,0.28253891296386713
660.08,635.0,0.04,33.69,0.2703930383300781
660.08,640.0,0.04,29.94,0.25867440551757814
660.08,641.0,0.04,26.79,0.25629405822753903
660.08,642.0,0.04,26.57,0.25379164184570313
660.08,643.0,0.04,26.46,0.25156388092041015
660.08,644.0,0.04,25.5,0.2491835336303711
660.08,645.0,0.04,23.98,0.24665059997558597
660.08,646.0,0.04,21.51,0.24439232177734377
660.08,647.0,0.04,20.4,0.24213404357910157
660.08,648.0,0.04,22.49,0.23975369628906246
660.08,649.0,0.04,20.74,0.23740386627197263
660.08,650.0,0.04,20.36,0.2350540362548828
660.08,651.0,0.04,18.41,0.2327347235107422
660.08,652.0,0.04,20.38,0.23044592803955077
660.08,653.0,0.04,18.29,0.22815713256835937
660.08,654.0,0.04,18.0,0.22583781982421874
660.08,655.0,0.04,15.98,0.22354902435302731
660.08,656.0,0.04,15.52,0.22122971160888671
660.08,657.0,0.04,15.36,0.21887988159179686
660.08,658.0,0.04,15.44,0.2167131552124023
660.08,659.0,0.04,13.06,0.21411918701171873
660.08,660.0,0.04,12.43,0.21186090881347652
660.08,661.0,0.04,11.98,0.20990780334472653
660.08,662.0,0.04,11.26,0.2075579733276367
660.08,663.0,0.04,10.57,0.20533021240234373
660.08,664.0,0.04,10.53,0.20319400329589843
660.08,665.0,0.04,9.45,0.20096624237060545
660.08,666.0,0.04,8.92,0.19870796417236325
660.08,667.0,0.04,8.74,0.1966633068847656
660.08,668.0,0.04,8.75,0.19440502868652343
660.08,669.0,0.04,7.33,0.1923603713989258
660.08,670.0,0.04,6.81,0.19022416229248051
660.08,671.0,0.04,7.2,0.18799640136718748
660.08,672.0,0.04,6.38,0.18601277862548826
660.08,673.0,0.04,5.53,0.1839070867919922
660.08,674.0,0.04,5.15,0.1818319122314453
