S0,K,T,P_mkt,iv_market
660.08,570.0,0.0,0.01,0.6250037500000001
660.08,575.0,0.0,0.01,0.64062859375
660.08,580.0,0.0,0.01,0.6015664843750002
660.08,585.0,0.0,0.01,0.5625043750000001
660.08,590.0,0.0,0.02,0.5312546875
660.08,595.0,0.0,0.02,0.5195360546875
660.08,600.0,0.0,0.03,0.48828636718750007
660.08,605.0,0.0,0.03,0.45117736328125
660.08,610.0,0.0,0.03,0.42578699218750005
660.08,615.0,0.0,0.04,0.38672488281249995
660.08,620.0,0.0,0.05,0.35742830078125
660.08,625.0,0.0,0.06,0.3242255078124999
660.08,630.0,0.0,0.08,0.29395237304687494
660.08,631.0,0.0,0.1,0.29004616210937495
660.08,632.0,0.0,0.1,0.28125718749999995
660.08,633.0,0.0,0.11,0.27686270019531245
660.08,634.0,0.0,0.1,0.27197993652343744
660.08,635.0,0.0,0.11,0.266608896484375
660.08,636.0,0.0,0.12,0.260749580078125
660.08,637.0,0.0,0.14,0.25489026367187506
660.08,638.0,0.0,0.15,0.25098405273437496
660.08,639.0,0.0,0.17,0.24414818359375
660.08,640.0,0.0,0.2,0.2417068017578125
660.08,641.0,0.0,0.22,0.23828886718749998
660.08,642.0,0.0,0.26,0.23389437988281248
660.08,643.0,0.0,0.29,0.2304764453125
660.08,644.0,0.0,0.35,0.22754678710937498
660.08,645.0,0.0,0.4,0.22510540527343748
660.08,646.0,0.0,0.46,0.2224198852539062
660.08,647.0,0.0,0.54,0.21973436523437498
660.08,648.0,0.0,0.63,0.21680470703125
660.08,649.0,0.0,0.75,0.21436332519531248
660.08,650.0,0.0,0.88,0.21289849609375
660.08,651.0,0.0,1.03,0.21070125244140625
660.08,652.0,0.0,1.19,0.20838193969726557
660.08,653.0,0.0,1.4,0.20642883422851557
660.08,654.0,0.0,1.61,0.20410952148437497
660.08,655.0,0.0,1.88,0.20227848510742186
660.08,656.0,0.0,2.15,0.2004474487304687
660.08,657.0,0.0,2.48,0.198250205078125
660.08,658.0,0.0,2.84,0.19678537597656248
660.08,659.0,0.0,3.28,0.19489330505371094
660.08,660.0,0.0,3.7,0.1928791650390625
660.08,661.0,0.0,4.15,0.19129226684570313
660.08,662.0,0.0,4.69,0.19013261047363283
660.08,663.0,0.0,5.22,0.18824053955078124
660.08,664.0,0.0,5.95,0.18726398681640627
660.08,665.0,0.0,6.71,0.18689777954101564
660.08,666.0,0.0,7.31,0.186531572265625
660.08,667.0,0.0,8.08,0.186531572265625
660.08,668.0,0.0,8.82,0.1870198486328125
660.08,669.0,0.0,9.72,0.188484677734375
660.08,670.0,0.0,10.6,0.19068192138671874
660.08,671.0,0.0,11.32,0.19385571777343752
660.08,672.0,0.0,12.54,0.19751779052734375
660.08,673.0,0.0,13.38,0.2024005541992187
660.08,674.0,0.0,14.14,0.2087481469726562
660.08,675.0,0.0,15.37,0.21973436523437498
660.08,676.0,0.0,16.35,0.2304764453125
660.08,677.0,0.0,17.09,0.241218525390625
660.08,678.0,0.0,17.0,0.2573316455078125
660.08,679.0,0.0,17.7,0.26367923828125
660.08,680.0,0.0,20.31,0.2710033837890625
660.08,681.0,0.0,19.06,0.2827220166015625
660.08,682.0,0.0,22.01,0.3673158972167969
660.08,683.0,0.0,22.6,0.3078682495117187
660.08,684.0,0.0,21.87,0.3178779150390625
660.08,685.0,0.0,25.01,0.32813171874999997
660.08,686.0,0.0,22.77,0.33301448242187504
660.08,687.0,0.0,24.0,0.37402969726562496
660.08,688.0,0.0,19.47,0.35425450439453116
660.08,689.0,0.0,17.7,0.5197801928710937
660.08,690.0,0.0,24.51,0.5317429638671876
660.08,691.0,0.0,17.9,0.5437057348632813
660.08,692.0,0.0,18.95,0.5554243676757813
660.08,693.0,0.0,19.94,0.5671430004882813
