S0,K,C_mkt,T,type,iv
672.88,525.0,0.02,0.01,P,0.72
672.88,530.0,0.02,0.01,P,0.69
672.88,535.0,0.01,0.01,P,0.66
672.88,540.0,0.01,0.01,P,0.64
672.88,545.0,0.01,0.01,P,0.61
672.88,550.0,0.01,0.01,P,0.59
672.88,555.0,0.01,0.01,P,0.61
672.88,560.0,0.01,0.01,P,0.59
672.88,565.0,0.01,0.01,P,0.56
672.88,570.0,93.78,0.01,C,0.89
672.88,570.0,0.01,0.01,P,0.54
672.88,575.0,102.28,0.01,C,0.85
672.88,575.0,0.02,0.01,P,0.51
672.88,580.0,85.62,0.01,C,0.82
672.88,580.0,0.02,0.01,P,0.5
672.88,585.0,0.02,0.01,P,0.49
672.88,590.0,75.65,0.01,C,0.77
672.88,590.0,0.02,0.01,P,0.46
672.88,595.0,0.03,0.01,P,0.43
672.88,600.0,71.34,0.01,C,0.69
672.88,600.0,0.04,0.01,P,0.42
672.88,605.0,0.03,0.01,P,0.39
672.88,610.0,0.04,0.01,P,0.37
672.88,615.0,48.93,0.01,C,0.58
672.88,615.0,0.05,0.01,P,0.34
672.88,620.0,0.06,0.01,P,0.32
672.88,625.0,50.59,0.01,C,0.45
672.88,625.0,0.05,0.01,P,0.3
672.88,630.0,38.48,0.01,C,0.45
672.88,630.0,0.06,0.01,P,0.27
672.88,631.0,0.07,0.01,P,0.27
672.88,632.0,0.07,0.01,P,0.26
672.88,633.0,0.08,0.01,P,0.26
672.88,634.0,0.08,0.01,P,0.26
672.88,635.0,33.24,0.01,C,0.41
672.88,635.0,0.08,0.01,P,0.25
672.88,636.0,32.39,0.01,C,0.42
672.88,636.0,0.08,0.01,P,0.24
672.88,637.0,0.1,0.01,P,0.24
672.88,638.0,30.72,0.01,C,0.36
672.88,638.0,0.09,0.01,P,0.24
672.88,639.0,0.1,0.01,P,0.23
672.88,640.0,29.92,0.01,C,0.0
672.88,640.0,0.1,0.01,P,0.23
672.88,641.0,31.74,0.01,C,0.0
672.88,641.0,0.12,0.01,P,0.22
672.88,642.0,0.12,0.01,P,0.22
672.88,643.0,0.15,0.01,P,0.21
672.88,644.0,25.12,0.01,C,0.0
672.88,644.0,0.13,0.01,P,0.21
672.88,645.0,31.38,0.01,C,0.0
672.88,645.0,0.14,0.01,P,0.21
672.88,646.0,0.15,0.01,P,0.21
672.88,647.0,0.17,0.01,P,0.2
672.88,648.0,0.19,0.01,P,0.19
672.88,649.0,17.94,0.01,C,0.0
672.88,649.0,0.19,0.01,P,0.19
672.88,650.0,21.56,0.01,C,0.0
672.88,650.0,0.21,0.01,P,0.19
672.88,651.0,0.24,0.01,P,0.19
672.88,652.0,0.27,0.01,P,0.18
672.88,653.0,0.29,0.01,P,0.18
672.88,654.0,17.57,0.01,C,0.12
672.88,654.0,0.34,0.01,P,0.18
672.88,655.0,17.75,0.01,C,0.0
672.88,655.0,0.39,0.01,P,0.18
672.88,656.0,12.69,0.01,C,0.0
672.88,656.0,0.43,0.01,P,0.17
672.88,657.0,15.86,0.01,C,0.11
672.88,657.0,0.49,0.01,P,0.17
672.88,658.0,14.96,0.01,C,0.13
672.88,658.0,0.54,0.01,P,0.17
672.88,659.0,12.94,0.01,C,0.12
672.88,659.0,0.6,0.01,P,0.16
672.88,660.0,13.44,0.01,C,0.13
672.88,660.0,0.72,0.01,P,0.16
672.88,661.0,11.11,0.01,C,0.12
672.88,661.0,0.83,0.01,P,0.16
672.88,662.0,11.4,0.01,C,0.12
672.88,662.0,0.93,0.01,P,0.16
672.88,663.0,10.35,0.01,C,0.13
672.88,663.0,1.08,0.01,P,0.16
672.88,664.0,10.0,0.01,C,0.13
672.88,664.0,1.24,0.01,P,0.15
672.88,665.0,8.94,0.01,C,0.12
672.88,665.0,1.42,0.01,P,0.15
672.88,666.0,8.02,0.01,C,0.13
672.88,666.0,1.59,0.01,P,0.15
672.88,667.0,7.03,0.01,C,0.13
672.88,667.0,1.82,0.01,P,0.15
672.88,668.0,6.35,0.01,C,0.12
672.88,668.0,2.06,0.01,P,0.14
672.88,669.0,5.68,0.01,C,0.12
672.88,669.0,2.37,0.01,P,0.14
672.88,670.0,5.04,0.01,C,0.12
672.88,670.0,2.67,0.01,P,0.14
672.88,671.0,4.37,0.01,C,0.12
672.88,671.0,3.03,0.01,P,0.14
672.88,672.0,3.77,0.01,C,0.12
672.88,672.0,3.45,0.01,P,0.14
672.88,673.0,3.2,0.01,C,0.12
672.88,673.0,3.88,0.01,P,0.13
672.88,674.0,2.74,0.01,C,0.12
672.88,674.0,4.37,0.01,P,0.14
672.88,675.0,2.25,0.01,C,0.11
672.88,675.0,4.93,0.01,P,0.13
672.88,676.0,1.84,0.01,C,0.11
672.88,676.0,5.54,0.01,P,0.13
672.88,677.0,1.49,0.01,C,0.11
672.88,677.0,6.01,0.01,P,0.13
672.88,678.0,1.17,0.01,C,0.11
672.88,678.0,6.58,0.01,P,0.13
672.88,679.0,0.93,0.01,C,0.11
672.88,679.0,7.58,0.01,P,0.13
672.88,680.0,0.71,0.01,C,0.11
672.88,680.0,7.94,0.01,P,0.13
672.88,681.0,0.54,0.01,C,0.11
672.88,681.0,9.51,0.01,P,0.13
672.88,682.0,0.38,0.01,C,0.1
672.88,682.0,10.55,0.01,P,0.14
672.88,683.0,0.29,0.01,C,0.1
672.88,683.0,10.73,0.01,P,0.14
672.88,684.0,0.19,0.01,C,0.1
672.88,684.0,13.73,0.01,P,0.15
672.88,685.0,0.14,0.01,C,0.1
672.88,685.0,13.85,0.01,P,0.16
672.88,686.0,0.09,0.01,C,0.1
672.88,686.0,17.8,0.01,P,0.16
672.88,687.0,0.08,0.01,C,0.1
672.88,687.0,11.84,0.01,P,0.16
672.88,688.0,0.04,0.01,C,0.11
672.88,688.0,18.43,0.01,P,0.18
672.88,689.0,0.04,0.01,C,0.1
672.88,689.0,17.83,0.01,P,0.18
672.88,690.0,0.03,0.01,C,0.11
672.88,690.0,20.26,0.01,P,0.19
672.88,691.0,0.03,0.01,C,0.11
672.88,691.0,15.09,0.01,P,0.27
672.88,692.0,0.02,0.01,C,0.12
672.88,692.0,12.41,0.01,P,0.28
672.88,693.0,0.01,0.01,C,0.12
672.88,693.0,10.99,0.01,P,0.29
672.88,694.0,0.01,0.01,C,0.12
672.88,694.0,21.67,0.01,P,0.3
672.88,695.0,0.02,0.01,C,0.13
672.88,695.0,30.77,0.01,P,0.31
672.88,696.0,0.01,0.01,C,0.13
672.88,696.0,24.9,0.01,P,0.32
672.88,697.0,0.01,0.01,C,0.13
672.88,698.0,0.02,0.01,C,0.14
672.88,699.0,0.02,0.01,C,0.14
672.88,700.0,0.02,0.01,C,0.15
672.88,700.0,28.51,0.01,P,0.35
672.88,701.0,0.02,0.01,C,0.15
672.88,702.0,0.01,0.01,C,0.16
672.88,703.0,0.01,0.01,C,0.16
672.88,704.0,0.01,0.01,C,0.17
672.88,705.0,0.02,0.01,C,0.17
672.88,705.0,21.39,0.01,P,0.4
672.88,706.0,0.01,0.01,C,0.18
672.88,707.0,0.01,0.01,C,0.18
672.88,708.0,0.01,0.01,C,0.19
672.88,709.0,0.02,0.01,C,0.19
672.88,710.0,0.01,0.01,C,0.2
672.88,714.0,0.02,0.01,C,0.21
672.88,715.0,0.01,0.01,C,0.22
672.88,715.0,38.22,0.01,P,0.48
672.88,720.0,0.01,0.01,C,0.24
