S0,K,C_mkt,T,type,iv
672.88,570.0,93.78,0.01,C,0.89
672.88,575.0,102.28,0.01,C,0.85
672.88,580.0,85.62,0.01,C,0.82
672.88,590.0,75.65,0.01,C,0.77
672.88,600.0,71.34,0.01,C,0.69
672.88,615.0,48.93,0.01,C,0.58
672.88,625.0,50.59,0.01,C,0.45
672.88,630.0,38.48,0.01,C,0.45
672.88,635.0,33.24,0.01,C,0.41
672.88,636.0,32.39,0.01,C,0.42
672.88,638.0,30.72,0.01,C,0.36
672.88,640.0,29.92,0.01,C,0.0
672.88,641.0,31.74,0.01,C,0.0
672.88,644.0,25.12,0.01,C,0.0
672.88,645.0,31.38,0.01,C,0.0
672.88,649.0,17.94,0.01,C,0.0
672.88,650.0,21.56,0.01,C,0.0
672.88,654.0,17.57,0.01,C,0.12
672.88,655.0,17.75,0.01,C,0.0
672.88,656.0,12.69,0.01,C,0.0
672.88,657.0,15.86,0.01,C,0.11
672.88,658.0,14.96,0.01,C,0.13
672.88,659.0,12.94,0.01,C,0.12
672.88,660.0,13.44,0.01,C,0.13
672.88,661.0,11.11,0.01,C,0.12
672.88,662.0,11.4,0.01,C,0.12
672.88,663.0,10.35,0.01,C,0.13
672.88,664.0,10.0,0.01,C,0.13
672.88,665.0,8.94,0.01,C,0.12
672.88,666.0,8.02,0.01,C,0.13
672.88,667.0,7.03,0.01,C,0.13
672.88,668.0,6.35,0.01,C,0.12
672.88,669.0,5.68,0.01,C,0.12
672.88,670.0,5.04,0.01,C,0.12
672.88,671.0,4.37,0.01,C,0.12
672.88,672.0,3.77,0.01,C,0.12
672.88,673.0,3.2,0.01,C,0.12
672.88,674.0,2.74,0.01,C,0.12
672.88,675.0,2.25,0.01,C,0.11
672.88,676.0,1.84,0.01,C,0.11
672.88,677.0,1.49,0.01,C,0.11
672.88,678.0,1.17,0.01,C,0.11
672.88,679.0,0.93,0.01,C,0.11
672.88,680.0,0.71,0.01,C,0.11
672.88,681.0,0.54,0.01,C,0.11
